week_ending,sex,age_band,observed_deaths,edition_year,is_final,source_filename
2014-09-26,All people,1-14,17,2014,False,2014_publishedweek2014.xls
2014-10-03,All people,1-14,22,2014,False,2014_publishedweek2014.xls
2014-10-10,All people,1-14,21,2014,False,2014_publishedweek2014.xls
2014-10-17,All people,1-14,19,2014,False,2014_publishedweek2014.xls
2014-10-24,All people,1-14,19,2014,False,2014_publishedweek2014.xls
2014-10-31,All people,1-14,25,2014,False,2014_publishedweek2014.xls
2014-11-07,All people,1-14,16,2014,False,2014_publishedweek2014.xls
2014-11-14,All people,1-14,12,2014,False,2014_publishedweek2014.xls
2014-11-21,All people,1-14,16,2014,False,2014_publishedweek2014.xls
2014-11-28,All people,1-14,18,2014,False,2014_publishedweek2014.xls
2014-12-05,All people,1-14,26,2014,False,2014_publishedweek2014.xls
2014-12-12,All people,1-14,24,2014,False,2014_publishedweek2014.xls
2014-12-19,All people,1-14,24,2014,False,2014_publishedweek2014.xls
2014-12-26,All people,1-14,16,2014,False,2014_publishedweek2014.xls
2015-01-02,All people,1-14,16,2015,False,2015_publishedweek2015.xls
2015-01-09,All people,1-14,28,2015,False,2015_publishedweek2015.xls
2015-01-16,All people,1-14,28,2015,False,2015_publishedweek2015.xls
2015-01-23,All people,1-14,20,2015,False,2015_publishedweek2015.xls
2015-01-30,All people,1-14,20,2015,False,2015_publishedweek2015.xls
2015-02-06,All people,1-14,30,2015,False,2015_publishedweek2015.xls
2015-02-13,All people,1-14,18,2015,False,2015_publishedweek2015.xls
2015-02-20,All people,1-14,18,2015,False,2015_publishedweek2015.xls
2015-02-27,All people,1-14,25,2015,False,2015_publishedweek2015.xls
2015-03-06,All people,1-14,19,2015,False,2015_publishedweek2015.xls
2015-03-13,All people,1-14,17,2015,False,2015_publishedweek2015.xls
2015-03-20,All people,1-14,20,2015,False,2015_publishedweek2015.xls
2015-03-27,All people,1-14,21,2015,False,2015_publishedweek2015.xls
2015-04-03,All people,1-14,17,2015,False,2015_publishedweek2015.xls
2015-04-10,All people,1-14,18,2015,False,2015_publishedweek2015.xls
2015-04-17,All people,1-14,22,2015,False,2015_publishedweek2015.xls
2015-04-24,All people,1-14,20,2015,False,2015_publishedweek2015.xls
2015-05-01,All people,1-14,21,2015,False,2015_publishedweek2015.xls
2015-05-08,All people,1-14,19,2015,False,2015_publishedweek2015.xls
2015-05-15,All people,1-14,20,2015,False,2015_publishedweek2015.xls
2015-05-22,All people,1-14,14,2015,False,2015_publishedweek2015.xls
2015-05-29,All people,1-14,22,2015,False,2015_publishedweek2015.xls
2015-06-05,All people,1-14,23,2015,False,2015_publishedweek2015.xls
2015-06-12,All people,1-14,10,2015,False,2015_publishedweek2015.xls
2015-06-19,All people,1-14,22,2015,False,2015_publishedweek2015.xls
2015-06-26,All people,1-14,19,2015,False,2015_publishedweek2015.xls
2015-07-03,All people,1-14,19,2015,False,2015_publishedweek2015.xls
2015-07-10,All people,1-14,18,2015,False,2015_publishedweek2015.xls
2015-07-17,All people,1-14,14,2015,False,2015_publishedweek2015.xls
2015-07-24,All people,1-14,14,2015,False,2015_publishedweek2015.xls
2015-07-31,All people,1-14,20,2015,False,2015_publishedweek2015.xls
2015-08-07,All people,1-14,21,2015,False,2015_publishedweek2015.xls
2015-08-14,All people,1-14,15,2015,False,2015_publishedweek2015.xls
2015-08-21,All people,1-14,21,2015,False,2015_publishedweek2015.xls
2015-08-28,All people,1-14,11,2015,False,2015_publishedweek2015.xls
2015-09-04,All people,1-14,12,2015,False,2015_publishedweek2015.xls
2015-09-11,All people,1-14,14,2015,False,2015_publishedweek2015.xls
2015-09-18,All people,1-14,18,2015,False,2015_publishedweek2015.xls
2015-09-25,All people,1-14,15,2015,False,2015_publishedweek2015.xls
2015-10-02,All people,1-14,18,2015,False,2015_publishedweek2015.xls
2015-10-09,All people,1-14,13,2015,False,2015_publishedweek2015.xls
2015-10-16,All people,1-14,26,2015,False,2015_publishedweek2015.xls
2015-10-23,All people,1-14,22,2015,False,2015_publishedweek2015.xls
2015-10-30,All people,1-14,14,2015,False,2015_publishedweek2015.xls
2015-11-06,All people,1-14,24,2015,False,2015_publishedweek2015.xls
2015-11-13,All people,1-14,26,2015,False,2015_publishedweek2015.xls
2015-11-20,All people,1-14,21,2015,False,2015_publishedweek2015.xls
2015-11-27,All people,1-14,21,2015,False,2015_publishedweek2015.xls
2015-12-04,All people,1-14,25,2015,False,2015_publishedweek2015.xls
2015-12-11,All people,1-14,25,2015,False,2015_publishedweek2015.xls
2015-12-18,All people,1-14,28,2015,False,2015_publishedweek2015.xls
